angle_deg,distance_mm
0.64501953125,459
1.0712890625,458
1.62255859375,457
1.923828125,457
2.35009765625,456
2.9013671875,456
3.32763671875,455
3.62890625,455
3.93017578125,454
4.7314453125,454
5.03271484375,453
5.583984375,453
6.01025390625,452
6.3115234375,452
6.73779296875,452
7.0390625,451
7.59033203125,451
7.7666015625,451
8.31787109375,450
8.994140625,451
9.29541015625,450
9.4716796875,450
10.14794921875,450
10.44921875,449
10.75048828125,449
11.3017578125,449
11.85302734375,449
12.279296875,449
12.70556640625,449
13.0068359375,449
13.30810546875,449
13.984375,449
14.4130859375,449
14.716796875,449
15.2705078125,449
15.57421875,449
16.0029296875,449
16.306640625,449
16.8603515625,449
17.2890625,450
17.9677734375,450
18.396484375,450
18.5751953125,450
18.87890625,450
19.6826171875,451
19.986328125,451
20.2900390625,452
20.71875,452
21.1474609375,452
21.576171875,453
22.0048828125,453
22.68359375,454
22.8623046875,454
23.291015625,455
23.8447265625,456
24.3984375,456
24.7021484375,456
25.005859375,457
25.4345703125,457
25.86328125,458
26.5419921875,459
26.845703125,460
27.3994140625,460
27.828125,461
28.13037109375,462
28.5576171875,463
28.85986328125,464
29.662109375,465
29.96435546875,466
30.2666015625,467
30.69384765625,467
30.99609375,468
31.67333984375,470
32.1005859375,471
32.40283203125,471
33.080078125,473
33.38232421875,473
33.9345703125,474
34.23681640625,475
34.6640625,477
35.09130859375,478
35.5185546875,479
35.94580078125,480
36.248046875,482
36.67529296875,483
37.3525390625,484
37.65478515625,486
38.08203125,487
38.50927734375,489
39.0615234375,491
39.61376953125,492
39.791015625,493
40.21826171875,496
40.6455078125,497
41.07275390625,498
41.75,500
42.05615234375,502
42.4873046875,504
43.04345703125,505
43.349609375,507
44.03076171875,509
44.3369140625,511
44.64306640625,513
45.32421875,516
45.63037109375,518
45.9365234375,520
46.61767578125,523
46.923828125,525
47.47998046875,527
47.7861328125,529
48.21728515625,531
48.6484375,533
49.07958984375,537
49.6357421875,538
49.94189453125,541
50.498046875,543
51.05419921875,546
51.4853515625,549
51.91650390625,551
52.34765625,554
52.77880859375,556
53.0849609375,560
53.51611328125,563
53.947265625,566
54.62841796875,570
54.9345703125,573
55.49072265625,576
55.921875,580
56.35009765625,584
56.6533203125,586
57.08154296875,589
57.634765625,593
58.06298828125,596
58.3662109375,602
58.91943359375,606
59.47265625,609
60.02587890625,613
60.3291015625,618
60.63232421875,623
61.310546875,627
61.61376953125,631
62.0419921875,636
62.59521484375,641
62.8984375,647
63.45166015625,651
63.7548828125,656
64.43310546875,661
64.736328125,666
65.16455078125,672
